Train samples: 2872 | Eval samples: 500 | num_domains=7
start training 0
[Epoch 1] Step 4040 | Triplet: 0.0000 | Domain: 1.8135 | Total: 1.8135
[Epoch 1] Step 4080 | Triplet: 0.0187 | Domain: 2.1699 | Total: 2.1886
[Epoch 1] Step 4120 | Triplet: 0.6178 | Domain: 2.0137 | Total: 2.6315
[Epoch 1] Step 4160 | Triplet: 0.7531 | Domain: 2.1016 | Total: 2.8547
[Epoch 1] Step 4200 | Triplet: 0.0841 | Domain: 2.1094 | Total: 2.1934
[Epoch 1] Step 4240 | Triplet: 0.0099 | Domain: 2.0781 | Total: 2.0880
[Epoch 1] Step 4280 | Triplet: 0.1470 | Domain: 1.6562 | Total: 1.8033
[Epoch 1] Step 4320 | Triplet: 0.0000 | Domain: 1.9111 | Total: 1.9111
[Epoch 1] Step 4360 | Triplet: 0.0000 | Domain: 2.0742 | Total: 2.0742
[Epoch 1] Step 4400 | Triplet: 0.0714 | Domain: 1.8271 | Total: 1.8985
[Epoch 1] Step 4440 | Triplet: 0.4659 | Domain: 1.9014 | Total: 2.3672
[Epoch 1] Step 4480 | Triplet: 0.7495 | Domain: 1.6934 | Total: 2.4428
[Epoch 1] Step 4520 | Triplet: 0.0000 | Domain: 1.8105 | Total: 1.8105
[Epoch 1] Step 4560 | Triplet: 0.2025 | Domain: 2.0801 | Total: 2.2826
[Epoch 1] Step 4600 | Triplet: 0.3895 | Domain: 2.0117 | Total: 2.4012
[Epoch 1] Step 4640 | Triplet: 0.0211 | Domain: 2.1660 | Total: 2.1871
[Epoch 1] Step 4680 | Triplet: 0.4102 | Domain: 2.0332 | Total: 2.4434
[Epoch 1] Step 4720 | Triplet: 0.3432 | Domain: 2.0605 | Total: 2.4037
[Epoch 1] Step 4760 | Triplet: 0.1902 | Domain: 2.0371 | Total: 2.2274
[Epoch 1] Step 4800 | Triplet: 0.3752 | Domain: 2.0176 | Total: 2.3928
[Epoch 1] Step 4840 | Triplet: 0.1152 | Domain: 2.1660 | Total: 2.2812
[Epoch 1] Step 4880 | Triplet: 0.0000 | Domain: 1.6748 | Total: 1.6748
[Epoch 1] Step 4920 | Triplet: 0.2980 | Domain: 1.9980 | Total: 2.2960
[Epoch 1] Step 4960 | Triplet: 0.5386 | Domain: 2.0117 | Total: 2.5503
